p    Overhead(*2)   Sequencial(*1,5) ((Sequencial/p)+Overhead)          Speedup        Eficiência    
16   3.00           100.00           9.25                               10.81          0.68           
16   6.00           150.00           15.38                              9.76           0.61           
16   12.00          225.00           26.06                              8.63           0.54           
16   24.00          337.50           45.09                              7.48           0.47           
16   48.00          506.25           79.64                              6.36           0.40           
16   96.00          759.38           143.46                             5.29           0.33           
16   192.00         1139.06          263.19                             4.33           0.27           
16   384.00         1708.59          490.79                             3.48           0.22           
16   768.00         2562.89          928.18                             2.76           0.17           
16   1536.00        3844.34          1776.27                            2.16           0.14           
16   3072.00        5766.50          3432.41                            1.68           0.11           
16   6144.00        8649.76          6684.61                            1.29           0.08           
16   12288.00       12974.63         13098.91                           0.99           0.06           
16   24576.00       19461.95         25792.37                           0.75           0.05           
16   49152.00       29192.93         50976.56                           0.57           0.04           
16   98304.00       43789.39         101040.84                          0.43           0.03           
16   196608.00      65684.08         200713.26                          0.33           0.02           
16   393216.00      98526.13         399373.88                          0.25           0.02           
16   786432.00      147789.19        795668.82                          0.19           0.01           
16   1572864.00     221683.78        1586719.24                         0.14           0.01           
16   3145728.00     332525.67        3166510.85                         0.11           0.01           
16   6291456.00     498788.51        6322630.28                         0.08           0.00           
16   12582912.00    748182.76        12629673.42                        0.06           0.00           
16   25165824.00    1122274.15       25235966.13                        0.04           0.00           
16   50331648.00    1683411.22       50436861.20                        0.03           0.00           
16   100663296.00   2525116.83       100821115.80                       0.03           0.00           
16   201326592.00   3787675.24       201563321.70                       0.02           0.00           
16   402653184.00   5681512.87       403008278.55                       0.01           0.00           
16   805306368.00   8522269.30       805839009.83                       0.01           0.00           
16   1610612736.00  12783403.95      1611411698.75                      0.01           0.00           
